"ID";"class";"PE";"G";"PS";"TE"
1;1;5;1;6.3;24
2;1;7;0;4.9;24
3;1;4;1;5.3;24
4;1;3;1;4.7;24
5;1;5;1;6;24
6;1;4;0;4.7;24
7;1;5;0;5.9;24
8;1;4;0;4.2;24
9;1;5;0;5.2;24
10;1;5;0;3.9;24
11;1;5;1;5.7;24
12;1;5;1;4.8;24
13;1;5;0;5;24
14;1;5;1;5.5;24
15;1;5;1;6;24
16;1;6;1;5.7;24
17;1;4;0;3.2;24
18;1;4;0;3.1;24
19;1;7;1;6.6;24
20;1;4;0;4.8;24
21;2;8;1;6.4;14
22;2;4;0;2.4;14
23;2;6;0;3.7;14
24;2;5;1;4.4;14
25;2;5;1;4.3;14
26;2;5;0;4;14
27;2;4;1;3.8;14
28;2;5;0;4.2;14
29;2;6;1;5.1;14
30;2;4;1;4.1;14
31;2;6;1;4.6;14
32;2;4;0;4.9;14
33;2;4;0;3.1;14
34;2;3;0;3.2;14
35;2;6;0;4.4;14
36;2;5;1;3.7;14
37;2;5;1;6.1;14
38;2;3;1;3.5;14
39;2;4;0;2.9;14
40;2;5;0;3.3;14
41;3;5;0;4.2;13
42;3;5;1;6;13
43;3;4;1;4.6;13
44;3;4;1;4.9;13
45;3;6;0;4.7;13
46;3;5;1;4.8;13
47;3;5;0;2.8;13
48;3;7;1;6.7;13
49;3;4;1;4.9;13
50;3;7;1;6.3;13
51;3;6;1;5.6;13
52;3;4;1;3.1;13
53;3;5;1;3.5;13
54;3;4;1;4.7;13
55;3;6;0;4.3;13
56;3;7;0;4.9;13
57;3;6;1;5.9;13
58;3;4;0;2.6;13
59;4;3;1;4.1;20
60;4;2;1;5.3;20
61;4;5;1;6.1;20
62;4;6;1;6;20
63;4;6;1;6.3;20
64;4;3;0;4;20
65;4;6;0;5.3;20
66;4;4;0;5.6;20
67;4;5;0;5.2;20
68;4;6;1;6.2;20
69;4;6;0;6.1;20
70;4;4;0;3.9;20
71;4;3;0;4.8;20
72;4;5;0;5.8;20
73;4;6;0;4.9;20
74;4;5;1;6.6;20
75;4;4;1;5.6;20
76;4;5;0;4.5;20
77;4;4;0;5.4;20
78;4;6;0;4.9;20
79;4;4;0;5.4;20
80;4;5;1;6.7;20
81;4;7;0;6.3;20
82;5;7;0;4.2;5
83;5;4;1;4;5
84;5;5;0;4.7;5
85;5;4;1;4.7;5
86;5;6;0;5.2;5
87;5;7;0;5.8;5
88;5;6;0;4.4;5
89;5;4;1;3.8;5
90;5;6;1;5.9;5
91;5;8;0;7;5
92;5;7;1;7.3;5
93;5;6;1;5.6;5
94;5;7;0;5.6;5
95;5;6;1;6.3;5
96;5;6;0;4.2;5
97;5;5;1;4.6;5
98;5;6;1;6.1;5
99;5;6;0;5;5
100;5;6;1;5.8;5
101;5;5;0;5.5;5
102;5;6;0;5.3;5
103;6;4;0;4.1;8
104;6;6;1;5.8;8
105;6;5;1;4.2;8
106;6;5;1;3.9;8
107;6;4;1;5;8
108;6;4;1;4.4;8
109;6;6;0;4.3;8
110;6;5;0;3.3;8
111;6;4;1;3.1;8
112;6;7;1;6.4;8
113;6;5;0;3.5;8
114;6;6;1;5.9;8
115;6;5;1;4.2;8
116;6;3;0;3.5;8
117;6;4;1;4.6;8
118;6;6;0;5.1;8
119;6;5;0;4.2;8
120;6;7;0;4.9;8
121;6;5;0;3.6;8
122;6;4;0;2.7;8
123;7;6;1;5.8;17
124;7;4;1;4.8;17
125;7;4;0;4.4;17
126;7;4;0;1.7;17
127;7;4;0;3.6;17
128;7;5;1;3.8;17
129;7;4;0;4.1;17
130;7;5;1;5.7;17
131;7;6;0;2.9;17
132;7;5;1;4.9;17
133;7;5;0;5.1;17
134;7;6;0;4;17
135;7;4;0;3;17
136;7;4;1;4.7;17
137;7;7;0;2.8;17
138;7;5;0;3.7;17
139;7;6;1;5.1;17
140;7;5;0;3.5;17
141;7;5;1;4.7;17
142;7;7;1;6;17
143;7;5;0;4;17
144;8;6;1;6.1;12
145;8;5;0;3.2;12
146;8;4;1;3.3;12
147;8;7;1;5;12
148;8;6;0;4.2;12
149;8;7;1;5.6;12
150;8;6;0;3.9;12
151;8;5;1;4.5;12
152;8;6;0;2.2;12
153;8;5;1;4.2;12
154;8;4;0;1.5;12
155;8;5;0;3.2;12
156;8;5;0;2.7;12
157;8;5;1;4.1;12
158;8;7;0;4.8;12
159;8;5;0;3.5;12
160;8;5;1;3.6;12
161;8;7;1;5.5;12
162;8;6;1;4.8;12
163;8;5;1;3.5;12
164;9;6;0;5.2;9
165;9;5;1;6;9
166;9;5;1;5.1;9
167;9;6;1;5.3;9
168;9;6;1;6.7;9
169;9;5;0;3.6;9
170;9;5;0;3.5;9
171;9;5;0;3.9;9
172;9;5;0;4.3;9
173;9;5;0;4;9
174;9;3;0;4.6;9
175;9;4;1;4.5;9
176;9;4;0;3.6;9
177;9;5;0;2.6;9
178;9;4;0;3.9;9
179;9;6;0;5;9
180;9;6;1;4.5;9
181;9;7;1;7.3;9
182;9;6;1;6.7;9
183;9;4;0;2.9;9
184;10;5;0;5.4;21
185;10;6;1;6.3;21
186;10;5;0;3.4;21
187;10;4;1;4.9;21
188;10;5;0;5.1;21
189;10;6;1;7;21
190;10;5;0;5.4;21
191;10;5;0;4.9;21
192;10;6;1;6.6;21
193;10;5;1;5.8;21
194;10;6;0;4.4;21
195;10;6;0;4.9;21
196;10;7;1;6;21
197;10;6;0;4.8;21
198;10;3;0;3.6;21
199;10;5;0;5;21
200;10;3;0;5.5;21
201;10;6;0;5;21
202;10;3;1;5.2;21
203;10;6;1;5.4;21
204;10;4;1;6;21
205;10;6;1;5.7;21
206;10;4;1;6.1;21
207;10;5;1;5.2;21
208;11;4;0;4.7;11
209;11;5;1;5.5;11
210;11;5;1;4.8;11
211;11;6;0;4.9;11
212;11;5;0;4.6;11
213;11;6;1;4.6;11
214;11;5;0;3.4;11
215;11;7;1;5.6;11
216;11;4;1;5.4;11
217;11;5;1;5.6;11
218;11;6;0;3.2;11
219;11;6;0;5.1;11
220;11;6;0;4.4;11
221;11;6;1;4.8;11
222;11;4;1;4.2;11
223;11;5;0;4.3;11
224;11;5;0;4.2;11
225;11;6;0;4;11
226;11;4;0;1.6;11
227;11;5;1;4.9;11
228;11;5;1;3.8;11
229;11;4;0;4.1;11
230;12;5;0;3.7;16
231;12;4;1;4.8;16
232;12;2;1;4.2;16
233;12;7;1;5.7;16
234;12;4;1;4.6;16
235;12;3;0;3.8;16
236;12;4;0;2.8;16
237;12;6;0;4.7;16
238;12;5;1;5.6;16
239;12;3;1;2.8;16
240;12;4;0;3.8;16
241;12;3;0;2.4;16
242;12;4;1;5.3;16
243;12;4;0;3.5;16
244;12;4;0;4.5;16
245;12;5;0;4.5;16
246;12;6;0;4.5;16
247;13;4;1;6.5;19
248;13;4;1;6.4;19
249;13;6;0;6.2;19
250;13;6;0;6.1;19
251;13;5;1;5.6;19
252;13;4;1;6.3;19
253;13;6;0;6.2;19
254;13;6;1;6.2;19
255;13;6;0;5.7;19
256;13;7;0;5.9;19
257;13;3;1;5;19
258;13;4;1;6.1;19
259;13;4;0;4.5;19
260;13;6;1;7.2;19
261;13;6;0;6.3;19
262;13;4;0;4.8;19
263;13;7;1;8;19
264;13;5;1;6;19
265;13;5;1;7.7;19
266;13;4;1;6.1;19
267;14;7;0;3;2
268;14;6;0;3.3;2
269;14;9;0;5.3;2
270;14;7;0;3.2;2
271;14;6;0;3.6;2
272;14;8;0;4.5;2
273;14;5;0;1.4;2
274;14;6;0;2.3;2
275;14;6;0;2.8;2
276;14;8;0;4.5;2
277;14;7;0;3.9;2
278;14;7;0;4.5;2
279;14;7;0;3.1;2
280;14;7;0;4.5;2
281;14;6;0;2.3;2
282;14;8;0;6.5;2
283;14;6;0;3.1;2
284;15;5;0;4.2;8
285;15;5;0;3.4;8
286;15;4;0;4;8
287;15;4;0;3.1;8
288;15;7;0;6.3;8
289;15;6;1;4.4;8
290;15;6;1;5.5;8
291;15;8;1;7.9;8
292;15;5;0;2.9;8
293;15;8;0;6.4;8
294;15;5;1;5.1;8
295;15;7;0;4.3;8
296;15;6;0;4.3;8
297;15;5;1;5.8;8
298;15;6;0;4.5;8
299;15;5;1;4.5;8
300;15;6;0;6;8
301;15;6;1;5.6;8
302;15;6;0;4.7;8
303;15;4;1;4.5;8
304;15;3;0;4.3;8
305;15;5;0;3.2;8
306;15;5;0;5;8
307;15;4;0;2.9;8
308;16;5;1;4.2;11
309;16;6;1;5.6;11
310;16;5;1;4.5;11
311;16;7;1;6.3;11
312;16;5;1;5.1;11
313;16;5;0;2.8;11
314;16;6;1;6.3;11
315;16;8;0;3.1;11
316;16;5;1;5.4;11
317;16;6;1;4.7;11
318;16;8;1;6.5;11
319;16;6;1;4.5;11
320;16;7;1;6.8;11
321;16;5;0;2.9;11
322;16;4;1;5.1;11
323;16;6;1;4.2;11
324;16;6;1;5.1;11
325;17;4;0;3.7;16
326;17;3;1;5.2;16
327;17;6;0;6.3;16
328;17;5;0;3.9;16
329;17;3;1;5.3;16
330;17;5;0;3.7;16
331;17;6;1;5.8;16
332;17;4;1;4.6;16
333;17;5;1;5.9;16
334;17;5;1;5.8;16
335;17;6;1;6.6;16
336;17;4;0;3.7;16
337;17;6;0;5.8;16
338;17;6;1;6.2;16
339;17;6;0;4.8;16
340;17;6;1;7;16
341;17;3;1;5.4;16
342;17;5;1;7;16
343;17;4;0;3.3;16
344;17;7;1;6.7;16
345;17;5;1;5.6;16
346;17;4;0;3.5;16
347;17;4;0;3.6;16
348;17;4;0;5.1;16
349;17;5;0;3.7;16
350;17;4;0;5.3;16
351;18;7;0;6.1;21
352;18;5;1;7.8;21
353;18;4;0;4.8;21
354;18;5;0;6.7;21
355;18;5;0;5.1;21
356;18;4;1;6.8;21
357;18;5;0;7.1;21
358;18;3;1;6.7;21
359;18;5;0;5.6;21
360;18;4;1;5.1;21
361;18;5;0;4.8;21
362;18;6;1;6.7;21
363;18;5;0;6.7;21
364;18;4;0;6.9;21
365;18;5;1;7.9;21
366;18;5;0;6.6;21
367;18;6;0;6.9;21
368;18;5;1;5.7;21
369;18;4;1;4.4;21
370;18;3;1;5.7;21
371;18;5;0;6;21
372;19;8;1;7.1;16
373;19;4;0;5.4;16
374;19;5;0;6.2;16
375;19;5;1;7.1;16
376;19;5;0;4.4;16
377;19;3;0;3.2;16
378;19;5;0;5.6;16
379;19;4;1;6.2;16
380;19;5;0;4.5;16
381;19;4;1;5.9;16
382;19;6;1;5.9;16
383;19;4;0;3.7;16
384;19;6;1;7.1;16
385;19;5;1;5.6;16
386;19;3;0;5;16
387;19;5;1;5.9;16
388;19;4;1;4.8;16
389;19;5;0;5.7;16
390;19;3;1;6.8;16
391;19;4;0;4;16
392;20;5;1;6;10
393;20;7;1;6.5;10
394;20;5;1;5.9;10
395;20;4;1;5.1;10
396;20;5;1;5.8;10
397;20;6;1;6.9;10
398;20;8;1;7.2;10
399;20;5;0;3.3;10
400;20;5;1;6.6;10
401;20;4;0;2.7;10
402;20;4;0;3.1;10
403;20;6;1;5.7;10
404;20;7;0;5.6;10
405;20;4;1;6.3;10
406;20;6;1;5.9;10
407;20;5;0;2.9;10
408;20;6;1;6.3;10
409;20;5;1;5.7;10
410;20;6;1;6.3;10
411;20;5;0;4.2;10
412;21;5;1;5.4;17
413;21;5;1;5.7;17
414;21;5;1;4.2;17
415;21;4;1;3.5;17
416;21;7;0;4.6;17
417;21;5;0;4.1;17
418;21;5;0;4.2;17
419;21;4;1;4.6;17
420;21;6;0;4;17
421;21;3;0;4.5;17
422;21;6;1;4.9;17
423;21;6;0;5.3;17
424;21;4;0;3.7;17
425;21;4;0;3.8;17
426;21;5;1;5.8;17
427;21;4;0;3.7;17
428;21;5;0;5.4;17
429;21;4;1;6.7;17
430;21;3;1;4.7;17
431;21;6;1;6;17
432;21;4;1;6.3;17
433;21;5;1;5;17
434;21;6;1;5.1;17
435;22;3;1;5.7;11
436;22;2;1;5.8;11
437;22;6;1;7.6;11
438;22;6;1;7.8;11
439;22;5;0;5.4;11
440;22;4;0;5.7;11
441;22;4;0;6.3;11
442;22;6;1;6.7;11
443;22;4;1;7;11
444;22;5;0;5.6;11
445;22;5;0;5.5;11
446;22;6;0;5.4;11
447;22;6;1;6.7;11
448;22;7;1;7.3;11
449;22;5;0;6.1;11
450;22;5;1;6.5;11
451;22;4;0;5.8;11
452;22;6;1;7.1;11
453;22;5;1;5.9;11
454;22;7;1;7;11
455;23;6;0;5;15
456;23;6;1;4.8;15
457;23;4;1;5.9;15
458;23;5;0;4.5;15
459;23;5;1;6.3;15
460;23;7;1;6;15
461;23;5;1;6.4;15
462;23;4;0;3.3;15
463;23;6;0;4.6;15
464;23;5;0;5.6;15
465;23;5;0;4.5;15
466;23;6;1;6.4;15
467;23;4;0;3.8;15
468;23;6;1;6.6;15
469;23;5;1;6.5;15
470;23;6;0;5.6;15
471;23;5;1;5.7;15
472;23;5;0;4.2;15
473;23;7;1;6.7;15
474;23;3;0;3.2;15
475;23;7;0;5.4;15
476;23;3;0;4.7;15
477;24;5;0;3.4;6
478;24;4;0;2.7;6
479;24;5;1;3.8;6
480;24;5;1;3.7;6
481;24;7;1;7.3;6
482;24;7;1;6.6;6
483;24;7;0;3;6
484;24;6;1;5.2;6
485;24;5;0;4.7;6
486;24;6;1;6.2;6
487;24;7;0;4.5;6
488;24;6;0;3.3;6
489;24;6;0;3.9;6
490;24;5;0;3.4;6
491;24;5;0;4.1;6
492;24;7;1;5.3;6
493;24;5;1;5.6;6
494;24;5;1;5.3;6
495;24;6;0;4.5;6
496;25;4;0;5.1;19
497;25;5;1;5.6;19
498;25;5;1;5.6;19
499;25;4;1;5.9;19
500;25;7;1;6.5;19
501;25;6;0;3.7;19
502;25;5;0;3.9;19
503;25;6;1;5.7;19
504;25;4;1;5.7;19
505;25;5;0;5.1;19
506;25;6;1;5.7;19
507;25;6;0;4.6;19
508;25;5;1;7;19
509;25;4;1;4.7;19
510;25;5;1;3.3;19
511;25;4;0;4;19
512;25;5;0;2.9;19
513;25;5;0;3.8;19
514;25;5;0;3.7;19
515;25;5;0;4.3;19
516;26;5;1;4.1;10
517;26;4;1;3.7;10
518;26;6;0;4.1;10
519;26;4;1;4.1;10
520;26;4;0;2.8;10
521;26;4;1;3.2;10
522;26;6;1;6;10
523;26;5;0;3.2;10
524;26;4;0;3.4;10
525;26;4;0;3.2;10
526;26;6;1;4.9;10
527;26;5;0;3.5;10
528;26;4;1;3.9;10
529;26;6;0;3.8;10
530;26;4;0;2.9;10
531;26;3;1;3.6;10
532;26;7;1;6.1;10
533;26;4;1;5.5;10
534;26;7;0;6.2;10
535;26;5;0;2.6;10
536;26;4;1;4.5;10
537;27;4;0;2.5;10
538;27;6;0;6;10
539;27;6;0;3.6;10
540;27;5;0;4.8;10
541;27;4;0;2.9;10
542;27;7;0;6.2;10
543;27;5;0;4;10
544;27;7;0;4.9;10
545;27;5;1;5.4;10
546;27;5;0;4.2;10
547;27;5;1;4.8;10
548;27;6;1;6.4;10
549;27;5;0;3.2;10
550;27;5;1;5.2;10
551;27;4;1;3.4;10
552;27;5;1;4.8;10
553;27;5;0;4.2;10
554;27;4;0;3.2;10
555;27;6;0;4.7;10
556;27;6;0;4.6;10
557;28;5;0;4.9;13
558;28;3;1;4.3;13
559;28;3;0;3.8;13
560;28;5;0;4.1;13
561;28;6;1;5.5;13
562;28;6;1;5;13
563;28;6;0;3.6;13
564;28;5;1;5.4;13
565;28;6;1;6;13
566;28;5;1;4.8;13
567;28;6;0;4.1;13
568;28;5;0;4.2;13
569;28;6;1;5.6;13
570;28;7;0;4.4;13
571;28;5;1;4.8;13
572;28;6;0;3.3;13
573;28;5;1;4.9;13
574;28;4;0;3.4;13
575;28;3;1;3.7;13
576;28;4;1;4.4;13
577;29;4;1;5.9;22
578;29;4;0;3.8;22
579;29;5;0;5.2;22
580;29;7;0;6.1;22
581;29;4;1;5.5;22
582;29;4;1;7.2;22
583;29;6;0;6.2;22
584;29;5;1;7.1;22
585;29;4;1;6;22
586;29;5;1;6;22
587;29;3;0;5.2;22
588;29;3;0;6.6;22
589;29;5;1;5.7;22
590;29;5;1;6.9;22
591;29;5;1;6.6;22
592;29;3;1;5.7;22
593;29;2;0;4.7;22
594;30;6;0;3.3;6
595;30;5;0;2.6;6
596;30;5;1;5.3;6
597;30;7;0;4;6
598;30;5;1;4.7;6
599;30;6;0;5.2;6
600;30;6;0;3.5;6
601;30;8;1;6.5;6
602;30;5;0;3.9;6
603;30;5;1;4.9;6
604;30;6;0;3.6;6
605;30;5;1;4.3;6
606;30;4;1;3.5;6
607;30;5;0;4;6
608;30;8;1;7.1;6
609;30;6;1;6.1;6
610;30;8;1;4.6;6
611;31;6;0;4.9;6
612;31;6;1;5.7;6
613;31;6;1;5.2;6
614;31;6;1;7.3;6
615;31;5;0;3.5;6
616;31;5;1;4;6
617;31;6;1;5.8;6
618;31;5;1;5.8;6
619;31;5;0;4.4;6
620;31;6;0;4.6;6
621;31;5;0;4.2;6
622;31;3;0;1.5;6
623;31;4;0;2.9;6
624;31;4;0;3.2;6
625;31;4;0;1.8;6
626;31;6;1;5.5;6
627;31;3;0;0.4;6
628;31;6;0;5.4;6
629;31;5;1;5.1;6
630;32;5;1;6.2;12
631;32;6;0;5.9;12
632;32;6;1;4.9;12
633;32;6;1;6;12
634;32;6;0;4.9;12
635;32;4;0;3.9;12
636;32;4;0;4.5;12
637;32;5;1;4.6;12
638;32;3;0;2.4;12
639;32;4;1;4.7;12
640;32;6;1;5;12
641;32;6;0;5.8;12
642;32;5;1;6.1;12
643;32;4;0;4.6;12
644;32;5;1;5.2;12
645;32;5;0;4.8;12
646;32;5;0;4;12
647;32;5;0;3.1;12
648;32;6;0;4.8;12
649;32;6;1;7.3;12
650;32;4;0;3.3;12
651;32;5;1;4.2;12
652;32;6;1;6.9;12
653;33;7;1;7.2;3
654;33;7;1;8.7;3
655;33;7;1;5.4;3
656;33;8;1;9.2;3
657;33;6;1;7;3
658;33;7;1;6.4;3
659;33;8;1;9.5;3
660;33;7;1;8.1;3
661;33;8;1;6;3
662;33;8;1;7;3
663;33;9;1;8.1;3
664;33;6;1;7.4;3
665;33;7;1;8.4;3
666;33;6;1;4.7;3
667;33;7;1;7.4;3
668;33;7;1;5.7;3
669;33;7;1;8;3
670;33;9;1;8.8;3
671;33;6;1;6.2;3
672;34;6;0;5.8;8
673;34;5;0;3.8;8
674;34;8;1;8.5;8
675;34;7;0;4.6;8
676;34;6;0;3.9;8
677;34;5;0;3.9;8
678;34;6;0;4.7;8
679;34;7;0;5.6;8
680;34;4;1;3.3;8
681;34;6;0;5.7;8
682;34;6;0;4.1;8
683;34;4;1;4.3;8
684;34;5;0;5.4;8
685;34;5;0;4.8;8
686;34;3;1;3.2;8
687;34;6;0;4.2;8
688;34;5;0;3.9;8
689;34;7;1;6.1;8
690;34;6;0;4.5;8
691;34;5;0;3.8;8
692;34;6;1;6.8;8
693;34;5;1;5;8
694;35;4;1;6;25
695;35;5;1;7.5;25
696;35;6;1;7.9;25
697;35;4;1;7.8;25
698;35;4;1;7.9;25
699;35;5;1;7;25
700;35;6;1;5.5;25
701;35;4;1;7;25
702;35;4;1;6.2;25
703;35;7;1;7;25
704;35;4;1;6.6;25
705;35;6;1;6.8;25
706;35;3;1;6.8;25
707;35;6;1;6.8;25
708;35;4;1;7.4;25
709;35;5;1;7.5;25
710;35;6;1;7.1;25
711;35;4;1;6.7;25
712;35;5;1;7.3;25
713;35;3;1;6.7;25
714;36;6;1;6.3;15
715;36;4;0;3.9;15
716;36;5;0;4;15
717;36;4;0;3.2;15
718;36;6;0;4.2;15
719;36;3;1;5;15
720;36;3;1;5.3;15
721;36;4;1;5.3;15
722;36;6;0;5.7;15
