school,gender,age,geread,gevocab
767,2,104,3.5,3.1
767,2,106,1.2,2.8
767,2,112,2.1,1.7
767,2,109,1.6,2.1
767,1,107,3.7,2.4
767,1,108,2.4,2.4
767,1,101,3.1,3.3
767,2,103,2.9,3.2
767,1,104,4.9,9.3
767,2,110,5,5.4
767,2,110,4.9,11
767,2,110,4.3,10.9
767,2,110,4.4,5.5
767,1,105,5.8,5.4
767,2,104,7,7.3
767,2,104,4.9,6.7
767,1,104,3.4,7.6
767,1,107,3.1,4.7
767,1,106,1.9,3
767,2,112,0.7,2
767,1,104,2.3,4.5
767,2,106,2.7,4.8
767,2,108,4.9,11
767,1,107,4.8,4.4
767,1,112,3.5,4.4
767,2,106,6.7,6.8
767,1,110,4.2,8.2
767,1,103,8.7,11.2
767,1,106,12,11.2
767,2,102,4.3,4.8
767,2,107,3.2,4.8
767,2,103,2.4,3.1
767,1,100,4.5,3.6
767,1,110,3.5,4.6
767,1,112,3.7,4.5
767,2,109,3.9,3.4
767,2,110,2.9,4.7
767,2,109,4.9,11
767,1,112,5.8,7.5
767,1,102,4.1,3.7
767,1,103,2.8,3.9
767,1,108,3,2.4
767,2,105,2,1.9
767,2,105,0.6,1.3
767,2,108,3.1,2.4
767,1,115,2.5,3.1
767,2,106,3.4,2.9
767,2,106,3.3,6.7
767,2,107,2.4,3
767,2,108,12,11.2
767,2,115,3.1,2.1
767,2,114,2.3,2.8
767,1,110,2.4,2.8
767,1,117,4.9,3.2
767,1,110,0,2.9
767,1,110,9.2,3.9
767,2,108,4,3.8
767,2,104,4.4,3.9
785,1,116,2.5,2.1
785,2,102,2.8,3.6
785,1,111,4.2,6.2
785,2,108,6.7,3.1
785,1,103,3.5,2.7
785,2,112,1.9,3.4
785,1,124,2.9,3.9
785,1,100,5,2.9
785,2,107,4.3,6
785,1,104,4.3,2.2
785,2,104,4.3,3
785,1,108,2,4.6
785,1,107,6.4,3
785,2,114,2.8,2.4
785,1,103,3.1,3.7
785,1,104,4,3.6
785,1,112,2.9,5.5
785,2,107,2.9,2.3
785,2,106,1.7,1.5
785,2,101,2.3,2.5
785,2,113,2.5,3.6
785,1,105,1.6,2.5
785,2,101,2.5,2.4
785,2,124,2.8,2.7
785,1,110,3.3,3
785,1,108,2.6,2.2
785,2,101,4,3.7
785,1,116,3.3,2.8
785,1,108,3.5,4.7
789,1,105,2.5,2.9
789,2,109,1.8,1.5
789,1,102,4.8,6.2
789,2,106,1.4,2.1
789,1,110,2.9,3.2
789,2,107,6.4,4.4
789,1,112,3.5,5.4
789,2,112,4.8,6.9
789,2,105,4.5,4.5
789,1,109,4.4,4.7
789,2,103,4,11.2
789,1,101,2.8,3.1
789,1,106,12,9.3
789,2,106,5,3
789,2,112,6.4,3.8
